degree,sigma,cap,population_h_lower,population_h_upper,actual_h_lower,actual_h_upper,sample_h_lower,sample_h_upper,min_draws,max_draws,common_sample_n,status,display_h,display_status,tolerance_log_e_above_099,tolerance_log_e_below_101,tolerance_confident,display_censored
3,0.03125,10,0,0,0,0,0,0,1000,1000,1000,exact,0,exact,,,False,False
3,0.03716272234383503,10,0,0,0,0,0,0,1000,1000,1000,exact,0,exact,,,False,False
3,0.04419417382415922,10,0,0,0,0,0,0,1000,1000,1000,exact,0,exact,,,False,False
3,0.052556025953357156,10,0,0,0,0,0,0,1000,1000,1000,exact,0,exact,,,False,False
3,0.0625,10,0,0,0,0,0,0,1000,8192,1000,exact,0,exact,,,False,False
3,0.07432544468767006,10,1,1,1,1,1,1,1000,65536,1000,exact,1,exact,,,False,False
3,0.08838834764831845,10,1,1,1,1,1,1,1000,1000,1000,exact,1,exact,,,False,False
3,0.10511205190671431,10,1,1,1,1,1,1,1000,1000,1000,exact,1,exact,,,False,False
3,0.125,10,1,1,1,1,1,1,1000,8192,1000,exact,1,exact,,,False,False
3,0.14865088937534013,10,1,1,1,1,1,1,1000,65536,1000,exact,1,exact,,,False,False
3,0.1767766952966369,10,2,2,2,2,2,2,1000,8192,1000,exact,2,exact,,,False,False
3,0.21022410381342863,10,2,2,2,2,2,2,1000,8192,1000,exact,2,exact,,,False,False
3,0.25,10,2,2,2,2,2,2,1000,8192,1000,exact,2,exact,,,False,False
3,0.29730177875068026,10,2,2,2,2,2,2,1000,8192,1000,exact,2,exact,,,False,False
3,0.3535533905932738,10,3,3,3,3,3,3,1000,8192,1000,exact,3,exact,,,False,False
3,0.42044820762685725,10,3,3,3,3,3,3,1000,32768,1000,exact,3,exact,,,False,False
3,0.5,10,4,4,4,4,4,4,1000,8192,1000,exact,4,exact,,,False,False
3,0.5946035575013605,10,5,5,5,5,5,5,1000,32768,1000,exact,5,exact,,,False,False
3,0.7071067811865476,10,6,6,6,6,6,6,1000,32768,1000,exact,6,exact,,,False,False
3,0.8408964152537145,10,7,8,7,8,8,8,1000,524288,1000,adjacent,7,boundary_lower,3.229341369164222,14.237020716952284,True,False
3,1.0,10,9,9,9,9,9,10,1000,131072,1000,exact,9,exact,,,False,False
3,1.189207115002721,10,10,10,10,,10,10,1000,32768,1000,capped,10,capped,,,False,True
3,1.4142135623730951,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,1.681792830507429,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,2.0,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,2.378414230005442,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,2.8284271247461903,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,3.363585661014858,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,4.0,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,4.756828460010884,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,5.656854249492381,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,6.727171322029716,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,8.0,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,9.513656920021768,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
3,11.313708498984761,10,10,10,10,,10,10,1000,1000,1000,capped,10,capped,,,False,True
