h,core_total_vertices,draws,debate_error_midpoint,debate_error_lower,debate_error_upper,debate_midpoint_sampling_se,debate_approx_population_95_lower,debate_approx_population_95_upper,core_mean_lower_bound,core_mean_upper_bound,core_sampling_se,core_approx_population_95_lower,core_approx_population_95_upper
1,2,64,0.398947514892665,0.39894751487959756,0.3989475149057325,0.03791969401428796,0.32462491461186105,0.47327011517400475,1.0454018307634583,1.0454018310933015,0.04620187923701917,0.9548461474679734,1.135957514397859
2,3,64,0.21155926739745962,0.21155926738270708,0.21155926741221212,0.02369061730995961,0.16512565745565994,0.25799287734020665,0.7538311416489766,0.7538311419788196,0.035865497810212046,0.6835347659466458,0.8241275176868352
3,4,64,0.13742196917466315,0.13742196915915322,0.1374219691901731,0.015657936166605275,0.10673241427301733,0.1681115240771299,0.5798224897046622,0.5798224900345054,0.029405059190753736,0.5221885736962113,0.6374564060483827
5,6,64,0.07557119126427647,0.07529994224666987,0.07584244028188306,0.00885208932963051,0.057923500139516304,0.09317347788234276,0.41126899399298744,0.41126899432283054,0.02247580066408212,0.3672164246943577,0.4553215636244315
7,8,64,0.049302022255038186,0.04926922197936002,0.049334822530716346,0.005746260573846908,0.03800988531317831,0.06060105806314084,0.3161668409895062,0.3161668413193493,0.017536389624955982,0.28179551732667785,0.35053816498426305
10,11,64,0.030993918331782513,0.0309437943946097,0.03104404226895533,0.0035045469554933146,0.024073097404074886,0.03791161922066445,0.23176252140179124,0.2317625217316344,0.013239711118889387,0.20581268760839685,0.2577123555246576
15,16,64,0.019169939680128645,0.01895784022994767,0.01938203913030962,0.002288139838429042,0.01449023770224681,0.023886476062216874,0.1616628742518794,0.16166287458172254,0.010072929351772715,0.14191993272045117,0.18140581611119705
20,21,64,0.013948560214775196,0.013658835985705671,0.01423828444384472,0.0016657672972210406,0.01041653252581198,0.017530143588805797,0.12407045179151895,0.12407045212136211,0.008090453929904186,0.10821316208664007,0.13992774182397433
30,31,64,0.00773328078461778,0.007538683333554015,0.007927878235681545,0.0008734274870268836,0.005842350079540807,0.009657856395097074,0.08479209994824718,0.08479210027809035,0.005944881868300421,0.0731401314845217,0.09644406873995917
40,41,64,0.004717827571160986,0.004556100635379514,0.004879554506942456,0.0005523015115479457,0.0034803956058895914,0.0059712377984171335,0.06340615833536938,0.06340615866521254,0.004608576889003585,0.05437334763100476,0.07243896936765956
50,51,64,0.003286345057470356,0.0031456462236279783,0.0034270438913127344,0.0003748331646127085,0.002420063859502966,0.004173209594563355,0.05027338412966737,0.05027338445951054,0.0037676332049926533,0.042888823045831005,0.057657945541296135
65,66,64,0.002080937960719819,0.0019280004125811618,0.002233875508858476,0.0002517297898177034,0.0014595694210405694,0.002754797600575873,0.03814117160999397,0.03814117193983713,0.0029575620746601734,0.03234434994133911,0.04393799360617107
80,81,64,0.001452349656400979,0.001324132176685348,0.0015805671361166101,0.00017317642735655342,0.0010011137173843861,0.0019390651497671462,0.03053847833039525,0.03053847866023842,0.002402528370962389,0.02582952272100488,0.035247434267324705
100,101,64,0.0010309694070294738,0.0009200986687273547,0.001141840145331593,0.00011717683126403313,0.0007076434324262199,0.0013936778161464192,0.024139116812961353,0.024139117142804523,0.0019149465767762197,0.020385821520184397,0.027892412433285912
