d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
3,0.03125,0.1,0.012461877704304182,0.024911612268873957,3,5.327037794569394,finite,7.833716361803704,0.8450980400142567,7,7.000000e+0,3.469446951953614e-18,0.0
4,0.03125,0.1,0.012461877704304182,0.0373583243321383,4,2.992137947533852,finite,3.938062922247401,0.9542425094393249,9,9.000000e+0,3.469446951953614e-18,0.0
5,0.03125,0.1,0.012461877704304182,0.049798985456513956,5,2.163869919441142,finite,2.9053790631155483,1.0791812460476247,12,1.200000e+1,3.469446951953614e-18,0.0
6,0.03125,0.1,0.012461877704304182,0.06223360444313905,6,1.7253602262720404,finite,2.459256327047434,1.2041199826559246,16,1.600000e+1,3.469446951953614e-18,0.0
7,0.03125,0.1,0.012461877704304182,0.0746621900690545,7,1.4481751131153575,finite,2.2192685348403325,1.3617278360175928,23,2.300000e+1,3.469446951953614e-18,0.0
8,0.03125,0.1,0.012461877704304182,0.08708475108730959,8,1.2543608374005826,finite,2.07272103736969,1.5185139398778873,33,3.300000e+1,3.469446951953614e-18,0.0
3,0.03716272234383503,0.1,0.014817259892012184,0.029614119469821242,3,5.077570999316567,finite,7.560219968129857,0.8450980400142567,7,7.000000e+0,5.204170427930421e-18,0.0
4,0.03716272234383503,0.1,0.014817259892012184,0.04440591047324509,4,2.834833299937306,finite,3.8297993161997397,0.9542425094393249,9,9.000000e+0,5.204170427930421e-18,0.0
5,0.03716272234383503,0.1,0.014817259892012184,0.05918755021754423,5,2.0392812225709056,finite,2.8427080532128555,1.1139433523068367,13,1.300000e+1,5.204170427930421e-18,0.0
6,0.03716272234383503,0.1,0.014817259892012184,0.07395905952302839,6,1.6181075196788526,finite,2.4169412571204436,1.2787536009528289,19,1.900000e+1,5.204170427930421e-18,0.0
7,0.03716272234383503,0.1,0.014817259892012184,0.08872045912973547,7,1.3518917033852194,finite,2.188243723143042,1.447158031342219,28,2.800000e+1,5.204170427930421e-18,0.0
